# producer	gap -q gap/generate-tomlib-scan.g
# gap_version	4.15.1
# tomlib_version	1.2.11
# semantics	exact relative to the complete subgroup-class and intersection data in each supplied TomLib table
table_name	group_order	subgroup_classes	maximal_classes	normal_classes	nonabelian_simple	solvable	chief_factor_orders	cmp	failed_maximal_classes
L2(16).4	16320	69	5	4	false	fail	not_computed	false	68,63,59,58
L2(17)	2448	22	5	2	true	fail	not_computed	false	21,18,17,16,14
L2(17)x2	4896	63	6	4	false	fail	not_computed	false	61,54,53,52,48
L2(19)	3420	19	5	2	true	fail	not_computed	false	17,16,12
L2(23)	6072	23	5	2	true	fail	not_computed	false	17
L2(25)	7800	37	5	2	true	fail	not_computed	false	36,34,33,27,25
L2(25).2_2	15600	103	6	3	false	fail	not_computed	false	101,97,96,79,75
L2(27)	9828	16	4	2	true	fail	not_computed	false	12,7
L2(29)	12180	22	5	2	true	fail	not_computed	false	21,16,14
L2(31)	14880	29	7	2	true	fail	not_computed	false	25,24,21,20,19
L2(32)	32736	24	3	2	true	fail	not_computed	false	22,21
L2(32).5	163680	30	4	3	false	fail	not_computed	false	28,27
L2(37)	25308	23	4	2	true	fail	not_computed	false	22,17,15,10
L2(41)	34440	33	7	2	true	fail	not_computed	false	32,27,26,25,23,22,21
L2(43)	39732	20	4	2	true	fail	not_computed	false	14,8
L2(47)	51888	29	5	2	true	fail	not_computed	false	25,24,23
L2(49)	58800	51	7	2	true	fail	not_computed	false	50,47,46,39,38,37,35
L2(53)	74412	20	4	2	true	fail	not_computed	false	19,16,14,7
L2(59)	102660	26	5	2	true	fail	not_computed	false	20
L2(61)	113460	32	5	2	true	fail	not_computed	false	31,24,22,21,20
L2(64)	262080	76	5	2	true	fail	not_computed	false	72,69,68,64
L2(67)	150348	20	4	2	true	fail	not_computed	false	14,7
L2(7)	168	15	3	2	true	false	168	true	none
L2(7).2	336	23	4	3	false	fail	not_computed	false	16
L2(71)	178920	39	7	2	true	fail	not_computed	false	33,32,31,26,24
L2(73)	194472	38	5	2	true	fail	not_computed	false	37,29,27,22,21
L2(79)	246480	37	7	2	true	fail	not_computed	false	31,30,29,23,22
L2(8)	504	12	3	2	true	fail	not_computed	false	10,9
L2(8).3	1512	25	4	3	false	fail	not_computed	false	21,20
L2(8):3x2	3024	61	5	6	false	fail	not_computed	false	54,53
L2(81)	265680	69	5	2	true	fail	not_computed	false	68,65,64,57,55
L2(83)	285852	24	4	2	true	fail	not_computed	false	20,10
L2(89)	352440	37	7	2	true	fail	not_computed	false	36,31,29,28,27,21,20
L2(97)	456288	45	5	2	true	fail	not_computed	false	44,35,33,27,26
L3(11)	212427600	315	6	2	true	fail	not_computed	false	175,129,120,101
L3(2).2x2	672	70	6	7	false	fail	not_computed	false	58
L3(3)	5616	51	4	2	true	fail	not_computed	false	27
L3(3).2	11232	78	5	3	false	fail	not_computed	false	75,69,61
L3(4)	20160	95	9	2	true	fail	not_computed	false	94,93,92,91,90,88,87,86,79
L3(4).2^2	80640	288	8	6	false	fail	not_computed	false	282,280,275,264,262
L3(4).2_1	40320	151	10	3	false	fail	not_computed	false	148,147,146,145,141,140,139,133,131
L3(4).2_2	40320	152	6	3	false	fail	not_computed	false	150,149,146,142,132
L3(4).2_3	40320	102	6	3	false	fail	not_computed	false	99,98,95,90,88
L3(4).3	60480	100	5	3	false	fail	not_computed	false	86,67
L3(4).3.2_2	120960	226	6	4	false	fail	not_computed	false	205
L3(4).3.2_3	120960	142	6	4	false	fail	not_computed	false	137,132,129,114
L3(4).6	120960	143	6	5	false	fail	not_computed	false	138,133,130,115
L3(4).D12	241920	409	8	8	false	fail	not_computed	false	397,389,386
L3(5)	372000	140	5	2	true	fail	not_computed	false	74,60,59
L3(7)	1876896	137	8	2	true	fail	not_computed	false	136,135,95,94,93,62,61,60
L3(8)	16482816	206	5	2	true	fail	not_computed	false	149,143,140
L3(9)	42456960	428	7	2	true	fail	not_computed	false	384,367,273,230,212
L4(3)	6065280	817	8	2	true	fail	not_computed	false	816,815,814,813,812,774,702,667
L5(2)	9999360	1411	5	2	true	false	9999360	true	none
M10x2	1440	74	6	7	false	fail	not_computed	false	71,69,58,50
M11	7920	39	5	2	true	fail	not_computed	false	37,34,27
M11x2	15840	114	6	4	false	fail	not_computed	false	111,104,91
M12	95040	147	11	2	true	fail	not_computed	false	144,143,134,133,130,127,126,113
M12.2	190080	213	9	3	false	fail	not_computed	false	209,202,200,199,194,185,183
M22	443520	156	8	2	true	fail	not_computed	false	155,154,153,152,151,150,146,145
M22.2	887040	490	7	3	false	fail	not_computed	false	486,484,483,476,474
M23	10200960	204	7	2	true	fail	not_computed	false	200,198,196
M24	244823040	1529	9	2	true	fail	not_computed	false	1527,1525,1524,1523,1522,1519,1069
M8.S4	192	78	5	8	false	true	2,3,4,4,2	true	none
M8.S4.2	384	135	5	11	false	true	2,2,3,4,4,2	true	none
M8:S3	48	16	3	5	false	fail	not_computed	false	13
M9:2	144	25	4	8	false	fail	not_computed	false	23
M9:S3	432	46	4	6	false	fail	not_computed	false	43
McL	898128000	373	12	2	true	fail	not_computed	false	372,371,370,369,368,367,366,365,364,363,354,344
McL.2	1796256000	733	10	3	false	fail	not_computed	false	731,728,726,725,724,723,703,689,644
O8+(2)	174182400	11171	17	2	true	fail	not_computed	false	11167,11166,11165,11158,11157,11156,11155,11077,11076,11075,11074
O8-(2)	197406720	5351	8	2	true	fail	not_computed	false	5350,5349,5348,5347,5346,5299,5269,4076
S10	3628800	1593	8	3	false	fail	not_computed	false	1589,1585,1584,1582,1561
S11	39916800	3094	7	3	false	fail	not_computed	false	3086,3084,3080
S12	479001600	10723	11	3	false	fail	not_computed	false	10719,10715,10710,10709,10707,10669,10649,10630
S13	6227020800	20832	8	3	false	fail	not_computed	false	20830,20827,20824,20822,20819
S3x3^(1+2)+:2A4	3888	271	5	19	false	fail	not_computed	false	267,258
S3xL2(8)	3024	68	5	6	false	fail	not_computed	false	61,60
S3xL2(8):3	9072	144	6	9	false	fail	not_computed	false	131,130
S3xS5	720	121	7	10	false	fail	not_computed	false	110
S4	24	11	3	4	false	true	2,3,4	true	none
